상품명,3차 카테고리.1,식품유형,용도,추가방향,중량 수치,묶음수량,총중량,10g당 가격,Unnamed: 13,중량 수치.1,중량 단위,수량,수량 단위,가격,평점,리뷰 수,Unnamed: 21,Unnamed: 22,상품명.1
"동원 참치 85g 2종 (라이트스탠다드10,고추5)+리챔 200g x 3개",햄/닭가슴살,,,,,,,,,"85, 200","g, g","2, 3",", 개",28900,5,16,,,[사조대림] 사조 안심 닭가슴살 훈제 100g X 10개
동원 저스트 노슈가 후르츠칵테일 425g,과일/옥수수/팥,,,,,,,,,425,g,,,2980,4.9,16,,,[CJ 선물세트] 최고의선택 특호 쇼핑백포함
동원 양반 캔김치 160g x 5캔,반찬/기타통조림,,,,,,,,,160,g,5,캔,9500,5,16,,,[CJ 선물세트] 최고의선택 프리미엄호 2개 쇼핑백포함
동원 양반 수라 돼지고기 김치찌개 460g (1~2인분) x 5개,국/탕/찌개,,,,,,,,,460,g,,,24000,4.9,16,,,[CJ 선물세트] 최고의선택 특호 2개 쇼핑백포함
동원 양반 수라 돼지고기 김치찌개 460g (1~2인분) x 3개,국/탕/찌개,,,,,,,,,460,g,,,15000,4.8,16,,,[CJ 선물세트] 특별한선택 K-2호 3개 쇼핑백포함
동원 양반 참치죽 420g x 10개,죽/스프,,,,,,,,,420,g,10,개,24900,4.9,16,,,[CJ 선물세트] 특별한선택 Y호 2개 쇼핑백포함
동원 초밥의달인 큰사각유부초밥 189g,아이반찬,,,,,,,,,189,g,,,3300,5,16,,,[CJ 선물세트] 스팸6호 쇼핑백포함
동원 초밥의달인 롤유부초밥(새콤한맛) 254g x 2개,아이반찬,,,,,,,,,254,g,2,개,9900,4.9,16,,,[CJ 선물세트] 스팸6호 4개 1박스 쇼핑백포함
동원참치 스프레드 고소마요 100gx4입,참치/연어통조림,,,,,,,,,100,g,4,,6400,4.8,15,,,[CJ 선물세트] 스팸G호 3개 쇼핑백포함
동원 고추참치 90g x 20캔,참치/연어통조림,,,,,,,,,90,g,20,캔,32000,5,15,,,[CJ 선물세트] 스팸6호 3개 쇼핑백포함
[순진500] 동원 참치액 500g 순+진,참치/연어통조림,,,,,,,,,500,g,,,7980,4.9,15,,,[CJ 선물세트] 스팸 라이트 12호 쇼핑백포함
동원 고등어 300g x 9캔,고등어/꽁치통조림,,,,,,,,,300,g,9,캔,18900,5,15,,,[CJ 선물세트] 스팸 라이트 12호 2개 쇼핑백포함
동원 자연산왕골뱅이 400g x 2캔,골뱅이/수산통조림,,,,,,,,,400,g,2,캔,18200,4.5,15,,,[CJ 선물세트] 스팸 라이트 12호 5개 1박스 쇼핑백포함
동원 번데기 130gx6캔,골뱅이/수산통조림,,,,,,,,,130,g,6,캔,8300,4.9,15,,,스팸 싱글 닭가슴살 80g x10개
동원 리챔 더블라이트 200g x 12캔,햄/닭가슴살,,,,,,,,,200,g,12,캔,32400,4.9,15,,,오늘좋은 데일리팜 기획 340Gx3개
동원 지중해 황도 복숭아 820g x 3캔,과일/옥수수/팥,,,,,,,,,820,g,3,캔,10800,5,15,,,오늘좋은 런천미트 기획 340Gx3개
동원 미니파인애플 234g x 12캔(1/2박스),과일/옥수수/팥,,,,,,,,,234,g,12,캔,20000,5,15,,,스팸 마일드 200g x8개+스팸 닭가슴살 200g x2개
동원 국산고구마당면 400g,파스타/생면/건면/기타 면,,,,,,,,,400,g,,,5900,4.9,15,,,스팸 마일드 200g x18개+스팸 닭가슴살 200g x2개
동원 양반 수라 한우사골설렁탕 460g (1~2인분) x 5개,국/탕/찌개,,,,,,,,,460,g,,,24000,5,15,,,오늘좋은 런천미트 340G
동원 양반 보양 삼계탕 900g (1~2인분),국/탕/찌개,,,,,,,,,900,g,,,9980,4.8,15,,,오늘좋은 데일리팜 라이트 340G
동원 양반 참치죽 420g x 4개,죽/스프,,,,,,,,,420,g,4,개,10900,5,15,,,스팸 닭가슴살 340g x8개
동원 양반 호박죽 285g x 12개 + 밤단팥죽 285g x 12개,죽/스프,,,,,,,,,"285, 285","g, g","12, 12","개, 개",37900,5,15,,,스팸 닭가슴살 340g x4개
[순진900] 동원 참치액 900g 순+진,고춧가루/액젓,,,,,,,,,900,g,,,12980,4.9,15,,,스팸 싱글 라이트 80g 5+5개
동원참치 콘참치 85g x 3캔,참치/연어통조림,,,,,,,,,85,g,3,캔,5100,4.8,14,,,[사조] 리얼 닭가슴살 135g X 6캔
동원참치 김치찌개용 250g x 15캔,참치/연어통조림,,,,,,,,,250,g,15,캔,51000,5,14,,,[사조] 런천미트 340g X 12캔
동원 번데기 130gx12캔,골뱅이/수산통조림,,,,,,,,,130,g,12,캔,15400,4.9,14,,,[사조] 라이트팜 200g X 12캔
[4%적립금] 동원 런천미트 340g x 24개(1박스),햄/닭가슴살,,,,,,,,,340,g,24,개,56000,5,14,,,[사조] 라이트팜 200g X 6캔
동원 리챔 순살꼬꼬 200g x 12개 / 닭가슴살햄,햄/닭가슴살,,,,,,,,,200,g,12,개,32400,5,14,,,[사조] 안심팜 340g X 6캔
동원 미니파인애플 234g,과일/옥수수/팥,,,,,,,,,234,g,,,2000,4.6,14,,,[사조] 리얼 닭가슴살 135g X 1캔
동원 저스트 노슈가 스위트콘 340g x 12캔,과일/옥수수/팥,,,,,,,,,340,g,12,캔,19200,4.9,14,,,[사조] 라이트팜 200g X 1캔
동원 양반 캔갓김치 160g,반찬/기타통조림,,,,,,,,,160,g,,,2000,4.6,14,,,동원 리챔 프로틴 200g x 6캔
[1+1] 동원 프리미엄 동원참치액 500g,고춧가루/액젓,,,,,,,,,500,g,,,14980,4.7,14,,,닭가슴살 핫도그 5팩+닭가슴살 치즈핫도그 5팩
동원 화끈한골뱅이 140g x 5캔,골뱅이/수산통조림,,,,,,,,,140,g,5,캔,16900,4.9,13,,,[파워닭] 닭가슴살 스테이크 5팩(불고기맛)+5팩(고추맛)
[4%적립금] 동원 번데기 130gx48캔(1박스),골뱅이/수산통조림,,,,,,,,,130,g,48,캔,50000,4.7,13,,,스팸 클래식 340g x5개+라이트 340g x5개+닭가슴살 340g x1개
동원 떡볶이의신 우리쌀 국물떡볶이 422g(2인),떡볶이/떡류,,,,,,,,,422,g,,,4980,4.9,13,,,스팸 클래식 340g x5개+라이트 340g x4개+닭가슴살 340g x1개
[4%적립금] 동원 단호박죽 285g x 24개입 x 3박스,죽/스프,,,,,,,,,285,g,24,개,102300,5,13,,,스팸 닭가슴살 340g x10개
동원 리챔 순닭가슴살 135g x 4개,햄/닭가슴살,,,,,,,,,135,g,4,개,15900,4.8,12,,,[CJ 선물세트] 최고의선택 특호 3개 1박스 쇼핑백포함
동원 저스트 노슈가 황도 2절 400g,과일/옥수수/팥,,,,,,,,,400,g,,,2580,4.8,12,,,[CJ 선물세트] 특별한선택 K-2호 쇼핑백포함
동원 Dole 후르츠칵테일 432g x 3캔,과일/옥수수/팥,,,,,,,,,432,g,3,캔,8100,4.7,12,,,[CJ 선물세트] 특별한선택 K-2호 5개 1박스 쇼핑백포함
동원 양반 수라 통다리 닭볶음탕 490g (1~2인분) x 5개,국/탕/찌개,,,,,,,,,490,g,,,25900,4.8,12,,,[CJ 선물세트] 특별한선택 Y호 쇼핑백포함
동원 양반 수라 도가니설렁탕 460g (1~2인분),국/탕/찌개,,,,,,,,,460,g,,,4900,4.8,12,,,[CJ 선물세트] 특별한선택 Y호 4개 1박스 쇼핑백포함
동원 양반 백합죽 420g x 20개,죽/스프,,,,,,,,,420,g,20,개,46900,5,12,,,[CJ 선물세트] 특별한선택 K-2호 2개 쇼핑백포함
동원 양반 밤단팥죽 420g x 20개,죽/스프,,,,,,,,,420,g,20,개,46900,5,12,,,[CJ 선물세트] 스팸1호 쇼핑백포함
동원참치 DHA 150g x 3캔,참치/연어통조림,,,,,,,,,150,g,3,캔,8200,5,11,,,스팸 라이트 340g 3입(노캡형) x4개(총 12개)
동원참치 마일드참치 200g x 15캔,참치/연어통조림,,,,,,,,,200,g,15,캔,44250,5,11,,,스팸 라이트 340g 3입(노캡형) x2개(총 6개)
동원참치 콘참치 85g x 5캔,참치/연어통조림,,,,,,,,,85,g,5,캔,8250,4.8,11,,,스팸 클래식 340g 3입(노캡형) x2개(총 6개)
동원참치 김치찌개용 250g x 5캔,참치/연어통조림,,,,,,,,,250,g,5,캔,18900,5,11,,,스팸 라이트 200g 3입(노캡형) x4개(총 12개)
동원참치 살코기 인 워터 100g,참치/연어통조림,,,,,,,,,100,g,,,2400,4.9,11,,,스팸 라이트 200g 10+10개
동원참치 포도씨유 150gx10캔,참치/연어통조림,,,,,,,,,150,g,10,캔,27000,5,11,,,스팸 라이트 200g 5+5개
동원 자연산꽁치 300g x 9캔,고등어/꽁치통조림,,,,,,,,,300,g,9,캔,33400,5,11,,,스팸 클래식 200g 3입(노캡형) x4개(총 12개)
동원 양반 진국 사골곰탕 300g (1인분) x 10개,국/탕/찌개,,,,,,,,,300,g,,,13500,5,11,,,한성 런천미트 200g 24개 1박스 햄 통조림 부대찌개
동원 양반 수라 한우사골곰탕 460g (1~2인분) x 3개,국/탕/찌개,,,,,,,,,460,g,,,6540,4.9,11,,,[똑똑한식단] 닭가슴살 소시지바 4종(훈제/불갈비향/더블치즈/청양고추맛) 각5개(개당70g/20개)
동원 양반 수라 차돌된장찌개 460g (1~2인분) x 3개,국/탕/찌개,,,,,,,,,460,g,,,15000,5,11,,,[똑똑한식단] 닭가슴살 소시지바 4종(훈제/불갈비향/더블치즈/청양고추맛) 각3개(개당70g/12개)
동원 양반 수라 차돌된장찌개 460g (1~2인분),국/탕/찌개,,,,,,,,,460,g,,,5500,4.9,11,,,[똑똑한식단] 스모크향 훈제 닭가슴살 소시지바 10개(개당70g)
동원참치 살코기 인 워터 100g x 3캔,참치/연어통조림,,,,,,,,,100,g,3,캔,7200,5,10,,,하림 닭가슴살 오리지널 챔 200g 10캔
동원참치 고추참치 85g x 60캔(1박스),참치/연어통조림,,,,,,,,,85,g,60,캔,91200,5,10,,,[CJ] 특별한선택 BN호
동원참치 스프레드 갈릭마요 100g,참치/연어통조림,,,,,,,,,100,g,,,2000,4.8,10,,,[아침] 바로드숑 해동없이 바로먹는 실온보관 닭가슴살 BEST 10종 모음전 100g*10팩
동원 꽁치 230g x 9캔,고등어/꽁치통조림,,,,,,,,,230,g,9,캔,27000,4.8,10,,,현미로만든 닭가슴살소시지 치즈핫도그 20팩
동원 자연산골뱅이 매실청 140g x 5캔,골뱅이/수산통조림,,,,,,,,,140,g,5,캔,16900,5,10,,,현미로만든 닭가슴살소시지 치즈핫도그 10팩
동원 Dole 후르츠칵테일 432g x 6캔,과일/옥수수/팥,,,,,,,,,432,g,6,캔,16000,4.9,10,,,현미로만든 닭가슴살소시지 핫도그 20팩
동원 저스트 노슈가 황도 슬라이스 400g x 6캔,과일/옥수수/팥,,,,,,,,,400,g,6,캔,16200,4.5,10,,,현미로만든 닭가슴살소시지 핫도그 15팩
동원 저스트 노슈가 파인애플 822g,과일/옥수수/팥,,,,,,,,,822,g,,,5480,4.9,10,,,청양고추맛 닭가슴살 소시지 10개
동원 양반 캔갓김치 160g x 5캔,반찬/기타통조림,,,,,,,,,160,g,5,캔,9500,4.9,10,,,불갈비향 닭가슴살 소시지 20개
동원 양반 한우사골시래기국 460g x (1~2인분) 3개,국/탕/찌개,,,,,,,,,460,g,,,12000,5,10,,,훈제 닭가슴살 소시지 15개
동원 양반 수라 통다리 닭볶음탕 490g (1~2인분),국/탕/찌개,,,,,,,,,490,g,,,5900,4.8,10,,,치닭스 닭가슴살 스테이크 15팩
동원 양반 전복죽 285g x 6개+쇠고기죽 287g x 6개,죽/스프,,,,,,,,,"285, 287","g, g","6, 6","개, 개",23600,5,10,,,맛있게매운 핵불닭 닭가슴살 20팩
동원 양반 전통잣죽 285g,죽/스프,,,,,,,,,285,g,,,2500,4.7,10,,,맛있게매운 핵불닭 닭가슴살 5팩
동원 양반 버섯 야채죽 420g x 20개,죽/스프,,,,,,,,,420,g,20,개,46900,4,10,,,[똑똑한식단]THE부드러운 불갈비맛 닭가슴살 20팩
동원 양반 쇠고기죽 287g 12개 + 야채죽 287g 12개,죽/스프,,,,,,,,,"287, 287","g, g","12, 12","개, 개",40900,5,10,,,[똑똑한식단]THE부드러운 불갈비맛 닭가슴살 10팩
[고기에 좋은] 비비드키친 저칼로리 데리야끼소스 285g+숯불매콤소스 290g+바베큐소스 280g,기타양념,,,,,,,,,"285, 290, 280","g, g, g",", , ",", , ",10500,5,10,,,[파워닭]닭가슴살 소시지 4팩(맛별)＋닭가슴살 스테이크 2팩(맛별)
동원홈푸드 비비드키친 알룰로스 510g,올리고당/물엿/조청/꿀,,,,,,,,,510,g,,,8580,4.9,10,,,동원 Dole 파인애플 432g
[4%적립금] 동원 빵가루 1kg x 8개(1박스),부침가루/튀김가루/빵가루,,,,,,,,,1,kg,8,개,28000,5,10,,,동원 복숭아 백도 400g x 12캔(1/2박스)
동원참치 마일드참치 200gx5캔,참치/연어통조림,,,,,,,,,200,g,5,캔,15000,5,9,,,동원 저스트 노슈가 스위트콘 340g x 12캔
동원 리챔 더블라이트 120g x 12캔,햄/닭가슴살,,,,,,,,,120,g,12,캔,25200,4.7,9,,,동원 지중해 황도 복숭아 820g x 6캔(1/2박스)
동원 런천미트 340g x 10캔,햄/닭가슴살,,,,,,,,,340,g,10,캔,30900,5,9,,,[4%적립금] 동원 저스트 노슈가 황도 슬라이스 400g x 24캔(1박스)
동원 Dole 후르츠칵테일 432g x 24캔(1박스),과일/옥수수/팥,,,,,,,,,432,g,24,캔,55000,5,9,,,동원 저스트 노슈가 황도 2절 400g
동원 양반 수라 한우사골설렁탕 460g (1~2인분) x 10개,국/탕/찌개,,,,,,,,,460,g,,,44000,5,9,,,동원 Dole 파인애플 432g x 12캔(1/2박스)
동원 양반 전복죽 420g x 6개 + 쇠고기죽 420g x 6개,죽/스프,,,,,,,,,"420, 420","g, g","6, 6","개, 개",33900,4.7,9,,,[2%적립금] 동원 지중해 황도 복숭아 820g
양반 전복죽 420g x 5개 +백합죽 420g x 5개,죽/스프,,,,,,,,,"420, 420","g, g","5, 5","개, 개",28000,4.9,9,,,동원 Dole 후르츠칵테일 432g x 3캔
동원 재래식압착 참기름 160ml,간장/고추장/된장/쌈장,,,,,,,,,160,ml,,,4200,5,9,,,동원 저스트 노슈가 후르츠칵테일 425g
동원참치 뽀로로 키즈 100g x 3캔,참치/연어통조림,,,,,,,,,100,g,3,캔,6000,4.4,8,,,동원 저스트 노슈가 황도 2절 400g x 6캔
동원 리챔 더블라이트 200g x 6캔,햄/닭가슴살,,,,,,,,,200,g,6,캔,17400,5,8,,,동원 저스트 노슈가 황도 슬라이스 400g x 12캔
동원 지중해 황도 복숭아 820g x 6캔(1/2박스),과일/옥수수/팥,,,,,,,,,820,g,6,캔,21000,4.9,8,,,[동원] 미니 파인애플 234g x 5
[4%적립금] 동원 저스트 노슈가 황도 슬라이스 400g x 24캔(1박스),과일/옥수수/팥,,,,,,,,,400,g,24,캔,52000,4.9,8,,,[오뚜기] LIGHT&JOY_가벼운 황도 280g x 12개
동원 저스트 노슈가 파인애플 822gx6개,과일/옥수수/팥,,,,,,,,,822,g,6,개,26000,5,8,,,동원 저스트 노슈가 후르츠칵테일 822g x 2캔
양반 나주식 곰탕 460g (1~2인분),국/탕/찌개,,,,,,,,,460,g,,,2250,4.8,8,,,[4%적립금] 동원 저스트 노슈가 후르츠칵테일 425gx48개(2박스)
동원 재래식압착 참기름 160ml x 2병,간장/고추장/된장/쌈장,,,,,,,,,160,ml,2,병,8000,5,8,,,동원 미니파인코코 227g
동원 참치액 진 900g,고춧가루/액젓,,,,,,,,,900,g,,,9980,5,8,,,동서식품 리치스 홀 커널 스위트콘 2.95kg
[2+2] 동원 참치액 진 500g,고춧가루/액젓,,,,,,,,,500,g,,,15960,5,8,,,[오뚜기] LIGHT&JOY_가벼운 백도 280g x 12개
동원 참치액 순 500gx3개,고춧가루/액젓,,,,,,,,,500,g,3,개,17940,4.9,8,,,동원 저스트 노슈가 후르츠칵테일 425gx12개
동원 참치액 진 900g,동원참치액,,,,,,,,,900,g,,,9980,5,8,,,동원 저스트 노슈가 후르츠칵테일 425gx6개
동원 참치액 순 500gx3개,동원참치액,,,,,,,,,500,g,3,개,17940,4.9,8,,,오늘좋은 스위트콘 기획 340gx12개
동원참치 DHA 250g x 3캔,참치/연어통조림,,,,,,,,,250,g,3,캔,11700,5,7,,,[산줄리아노] 버터빈 400g X 1개
동원참치 마일드 150g x 5캔,참치/연어통조림,,,,,,,,,150,g,5,캔,13500,5,7,,,[산줄리아노] 까넬리니빈 400g X 4개
동원참치 마일드참치 200g x 3캔,참치/연어통조림,,,,,,,,,200,g,3,캔,9300,5,7,,,[산줄리아노] 까넬리니빈 400g X 6개
동원참치 스프레드 체다치즈 100g,참치/연어통조림,,,,,,,,,100,g,,,2000,5,7,,,[산줄리아노] 까넬리니빈 400g X 12개
동원참치 야채참치 90g,참치/연어통조림,,,,,,,,,90,g,,,2000,5,7,,,[산줄리아노] 버터빈 400g X 6개
동원 김치찌개용 꽁치 300g x 6캔,고등어/꽁치통조림,,,,,,,,,300,g,6,캔,25800,5,7,,,[산줄리아노] 버터빈 400g X 12개
동원 김치찌개용 꽁치 300g x 12캔,고등어/꽁치통조림,,,,,,,,,300,g,12,캔,44400,5,7,,,알마스 캐비아 벨루가 30g 국내산 캐비어 양식 철갑상어알 프리미엄 선물세트
동원 자연산골뱅이탕(얼큰한국물) 300g,골뱅이/수산통조림,,,,,,,,,300,g,,,4900,4.6,7,,,알마스 캐비아 오세트라 30g + 벨루가 30g 국내산 캐비어 양식 철갑상어알 프리미엄 선물세트
동원 을지로골뱅이 & 진미채 300g x 10캔 / 특제간장소스,골뱅이/수산통조림,,,,,,,,,300,g,10,캔,62800,5,7,,,알마스 캐비아 벨루가 30g x5 국내산 캐비어 양식 철갑상어알 프리미엄 선물세트
동원 번데기 130gx24캔(1/2박스),골뱅이/수산통조림,,,,,,,,,130,g,24,캔,30000,4.7,7,,,알마스 캐비아 오세트라 30g 국내산 캐비어 양식 철갑상어알 프리미엄 선물세트
동원 자연산골뱅이 매실청 140g,골뱅이/수산통조림,,,,,,,,,140,g,,,3880,4.6,7,,,알마스 캐비아 세브루가 15g 국내산 캐비어 양식 철갑상어알 프리미엄 선물세트
동원 을지로골뱅이 & 진미채 300g x 2캔 / 특제간장소스,골뱅이/수산통조림,,,,,,,,,300,g,2,캔,13400,4.7,7,,,알마스 캐비아 벨루가 15g 국내산 캐비어 양식 철갑상어알 프리미엄 선물세트
[4%적립금] 동원 화끈한골뱅이 400g x 24개(1박스),골뱅이/수산통조림,,,,,,,,,400,g,24,개,149000,5,7,,,알마스 캐비아 오세트라 15g x 3 국내산 캐비어 양식 철갑상어알 프리미엄 선물세트
동원 런천미트 200g x 4캔,햄/닭가슴살,,,,,,,,,200,g,4,캔,8900,5,7,,,알마스 캐비아 오세트라 120g 국내산 캐비어 양식 철갑상어알 프리미엄 선물세트
동원 리챔 더블라이트 200g x 9캔,햄/닭가슴살,,,,,,,,,200,g,9,캔,25600,5,7,,,알마스 캐비아 세브루가 120g 국내산 캐비어 양식 철갑상어알 프리미엄 선물세트
동원 리챔 순닭가슴살 135g x 8개,햄/닭가슴살,,,,,,,,,135,g,8,개,16800,4.9,7,,,알마스 캐비아 벨루가 120g 국내산 캐비어 양식 철갑상어알 프리미엄 선물세트
동원 미니파인코코 227g x 24캔(1박스),과일/옥수수/팥,,,,,,,,,227,g,24,캔,37000,5,7,,,[4%적립금] 동원 양반 캔볶음김치 160g x 96캔
동원 저스트 노슈가 파인애플 425gx24개(1박스),과일/옥수수/팥,,,,,,,,,425,g,24,개,55000,4.9,7,,,동원 양반 캔갓김치 160g x 48캔
동원 저스트 노슈가 후르츠칵테일 822g,과일/옥수수/팥,,,,,,,,,822,g,,,3980,4.9,7,,,식자재 아울렛 통조림 부대햄 튜립A
동원 저스트 노슈가 파인애플 425gx12개,과일/옥수수/팥,,,,,,,,,425,g,12,개,33900,5,7,,,식자재 아울렛 통조림 화풍양송이 슬 2.84kg
동원 양반 캔갓김치 160g x 10캔,반찬/기타통조림,,,,,,,,,160,g,10,캔,18500,4.6,7,,,식자재 아울렛 통조림 델솔나쵸할라피뇨 2.83Kg
양반 나주식 곰탕 460g (1~2인분) x 10개,국/탕/찌개,,,,,,,,,460,g,,,20000,4.9,7,,,식자재 아울렛 통조림 화풍 죽순 채 2.8kg
동원 양반 수라 차돌된장찌개 460g (1~2인분) x 5개,국/탕/찌개,,,,,,,,,460,g,,,24000,4.1,7,,,식자재 아울렛 통조림 화풍 양송이 특편 2.8kg
동원 떡볶이의신 우리쌀 국물떡볶이 422g(2인) x 5개,떡볶이/떡류,,,,,,,,,422,g,,,19900,5,7,,,식자재 아울렛 통조림 화풍 표고버섯 채 2.8kg
동원 떡볶이의신 더매운 컵떡볶이 160g x 10개,떡볶이/떡류,,,,,,,,,160,g,10,개,23900,5,7,,,식자재 아울렛 통조림 화풍 표고버섯 홀 2.8kg
양반 허니슈크림 붕어빵 300g x 2봉 + 앙버터 붕어빵 300g,생지/냉동반죽,,,,,,,,,"300, 300","g, g","2, ","봉, ",17900,4.6,7,,,동원 양반 캔갓김치 160g x 20캔
[2+2] 동원 참치액 진 900g,고춧가루/액젓,,,,,,,,,900,g,,,25960,5,7,,,[쥬카토] 그린 올리브 690g
동원 참치액 순 900g,동원참치액,,,,,,,,,900,g,,,9980,5,7,,,[리졸리] 앤쵸비(올리브오일) 720g-캔
"동원 국물의신 100g(4gx25입) 2종 각 1개(멸치,참치)",분말/액상조미료,,,,,,,,,"100, 4","g, g",", 25",", ",13500,5,7,,,[리졸리] 참치 185g
동원 참치액 순 900g,분말/액상조미료,,,,,,,,,900,g,,,9980,5,7,,,[오뚜기] 3분 쇠고기 간짜장 S.P 200G x 24개
동원 고추참치 90g,참치/연어통조림,,,,,,,,,90,g,,,1900,5,6,,,알마스 캐비아 세브루가 15g x 3 국내산 캐비어 양식 철갑상어알 프리미엄 선물세트
동원맛참 마요참기름 135g 10캔,참치/연어통조림,,,,,,,,,135,g,10,캔,27900,5,6,,,알마스 캐비아 세브루가 15g + 오세트라 15g + 벨루가 15g 국내산 캐비어 양식 철갑상어알 프리미엄 선물세트
동원 한입골뱅이 400g x 2캔,골뱅이/수산통조림,,,,,,,,,400,g,2,캔,18200,4.8,6,,,동서 리치스 오이피클(컵) 80gx168개/1BOX
동원 자연산골뱅이 400g x 2캔,골뱅이/수산통조림,,,,,,,,,400,g,2,캔,18200,4.7,6,,,동서 산베니토 토마토 페이스트 3.15kg
동원 리챔 순닭가슴살 135g x 12개,햄/닭가슴살,,,,,,,,,135,g,12,개,24000,5,6,,,동서 산베니토 홀 필드 토마토 2.89kg
동원 리챔 340g x 6캔,햄/닭가슴살,,,,,,,,,340,g,6,캔,25500,4.8,6,,,[마다마 올리바] 냉장 블랙노첼라라벨리체 올리브 250g x 2개 (소비기한 2025-07-16까지)
동원 리챔 더블라이트 120g x 6캔,햄/닭가슴살,,,,,,,,,120,g,6,캔,13200,4.7,6,,,[마다마 올리바] 냉장 블랙노첼라라벨리체 올리브 250g x 4개 (소비기한 2025-07-16까지)
동원 리챔 더블라이트 200g,햄/닭가슴살,,,,,,,,,200,g,,,3000,5,6,,,식자재 아울렛 통조림 라리 베이키드빈스 420g
동원 리챔 더블라이트 120g x 3캔,햄/닭가슴살,,,,,,,,,120,g,3,캔,6900,5,6,,,식자재 아울렛 통조림 죽순 홀 화풍 2.84kg
[2%적립금] 동원 지중해 황도 복숭아 820g,과일/옥수수/팥,,,,,,,,,820,g,,,3400,4.2,6,,,식자재 아울렛 통조림 이츠웰 파인애플 슬라이스 836g
동원 저스트 노슈가 후르츠칵테일 822gx6개,과일/옥수수/팥,,,,,,,,,822,g,6,개,22900,5,6,,,식자재 아울렛 통조림 이츠웰 후르츠칵테일 3.062kg
[4%적립금] 동원 저스트 노슈가 파인애플 425gx48개(2박스),과일/옥수수/팥,,,,,,,,,425,g,48,개,95000,5,6,,,식자재 아울렛 통조림 화풍 죽순편 2.8kg
동원 양반 수라 통다리 닭볶음탕 490g (1~2인분) x 3개,국/탕/찌개,,,,,,,,,490,g,,,15900,4.7,6,,,식자재 아울렛 통조림 델몬트 파인애플 슬라이스 836g
동원 떡볶이의신 우리쌀 로제떡볶이 360g(2인),떡볶이/떡류,,,,,,,,,360,g,,,4980,4.3,6,,,리치스 그린올리브 홀 피티드 405g
[4%적립금] 동원 양반 들깨닭죽 420g x 20개입 x 3박스,죽/스프,,,,,,,,,420,g,20,개,130000,5,6,,,[마다마 올리바] 냉장 블랙노첼라라벨리체올리브 250g x 3개 (소비기한 2025-07-16까지)
동원 양반 전복죽 287g x 12개 + 쇠고기죽 287g x 12개,죽/스프,,,,,,,,,"287, 287","g, g","12, 12","개, 개",44900,5,6,,,"밥지을때 바로넣는 유기농 감자,곤드레나물 12인분(18gx6봉)"
양반 전복죽 420g x 5개 + 쇠고기죽 420g x 5개,죽/스프,,,,,,,,,"420, 420","g, g","5, 5","개, 개",28000,4.8,6,,,"밥지을때 바로넣는 유기농 더덕,곤드레나물 12인분(15gx6봉)"
동원참치 스프레드 갈릭마요 100gx10캔,참치/연어통조림,,,,,,,,,100,g,10,캔,20000,3.6,5,,,오뚜기 팔도 진새라면세트 총 20봉 (진매10+틈새빨계10) / 봉지라면
동원참치 살코기 라이트스탠다드 135gx3캔,참치/연어통조림,,,,,,,,,135,g,3,캔,7000,5,5,,,[농심] 너구리 순한맛 5개
동원 꽁치 230g x 12캔,고등어/꽁치통조림,,,,,,,,,230,g,12,캔,33600,5,5,,,농심 감자면 40봉 감자라면 봉지라면
동원 자연산꽁치 300g,고등어/꽁치통조림,,,,,,,,,300,g,,,4700,5,5,,,농심)신라면 봉지(30개입)
동원 자연산왕골뱅이 400g x 3캔,골뱅이/수산통조림,,,,,,,,,400,g,3,캔,26900,5,5,,,열라면(오뚜기 멀티팩 120g x5입)
동원 리챔 프로틴 200g,햄/닭가슴살,,,,,,,,,200,g,,,3000,5,5,,,너구리(농심 30봉)
동원 리챔 순살꼬꼬 200g x 3개 / 닭가슴살햄,햄/닭가슴살,,,,,,,,,200,g,3,개,8900,5,5,,,신라면 멀티(농신 40봉)
동원 리챔 더블라이트 300g x 9캔,햄/닭가슴살,,,,,,,,,300,g,9,캔,35100,4.6,5,,,오뚜기 열라면 120gx20봉지
동원 리챔 더블라이트 300g x 6캔,햄/닭가슴살,,,,,,,,,300,g,6,캔,24000,5,5,,,신라면 120gx40봉지
동원 리챔 더블라이트 300g x 3캔,햄/닭가슴살,,,,,,,,,300,g,3,캔,12300,4.8,5,,,농심 라면왕 김통깨 100gx32봉지
동원 Dole 파인애플 432g x 12캔(1/2박스),과일/옥수수/팥,,,,,,,,,432,g,12,캔,30000,4.6,5,,,농심 신라면 블랙 두부김치 127gx16봉지
동원 미니파인애플 234g x 6캔,과일/옥수수/팥,,,,,,,,,234,g,6,캔,11000,5,5,,,농심 신라면 블랙 두부김치 127gx32봉지
동원 양반 진국 사골곰탕 300g (1인분) x 3개,국/탕/찌개,,,,,,,,,300,g,,,4400,5,5,,,팔도 꼬꼬면 115gx20봉지
양반 전복죽 420g+쇠고기죽 420g+단호박죽 420g 2개씩 총 6개,죽/스프,,,,,,,,,"420, 420, 420","g, g, g",", , 2",", , 개",20900,5,5,,,무파마탕면 122gx16봉지
양반 전복죽 420g x 5개 +들깨닭죽 420g x 5개,죽/스프,,,,,,,,,"420, 420","g, g","5, 5","개, 개",28000,4.6,5,,,삼양라면 120gx20봉지
[4%적립금] 동원 야채죽 287g 24개입 x 3박스,죽/스프,,,,,,,,,287,g,24,개,102300,5,5,,,신라면 블랙 32봉지
